도로종류,시간대,사고수,월,유형
고속국도,22시-24시,40,03,부상자수
일반국도,00시-02시,42,04,사고건수
일반국도,02시-04시,25,04,사고건수
일반국도,04시-06시,30,04,사고건수
일반국도,06시-08시,100,04,사고건수
일반국도,08시-10시,180,04,사고건수
일반국도,10시-12시,189,04,사고건수
일반국도,12시-14시,195,04,사고건수
일반국도,14시-16시,194,04,사고건수
일반국도,16시-18시,206,04,사고건수
일반국도,18시-20시,213,04,사고건수
일반국도,20시-22시,141,04,사고건수
일반국도,22시-24시,115,04,사고건수
지방도,00시-02시,33,04,사고건수
지방도,02시-04시,14,04,사고건수
지방도,04시-06시,23,04,사고건수
지방도,06시-08시,83,04,사고건수
지방도,08시-10시,128,04,사고건수
지방도,10시-12시,112,04,사고건수
지방도,12시-14시,154,04,사고건수
지방도,14시-16시,136,04,사고건수
지방도,16시-18시,181,04,사고건수
지방도,18시-20시,121,04,사고건수
지방도,20시-22시,94,04,사고건수
지방도,22시-24시,74,04,사고건수
특별광역시도,00시-02시,206,04,사고건수
특별광역시도,02시-04시,107,04,사고건수
특별광역시도,04시-06시,118,04,사고건수
특별광역시도,06시-08시,340,04,사고건수
특별광역시도,08시-10시,685,04,사고건수
특별광역시도,10시-12시,688,04,사고건수
특별광역시도,12시-14시,790,04,사고건수
특별광역시도,14시-16시,839,04,사고건수
특별광역시도,16시-18시,918,04,사고건수
특별광역시도,18시-20시,916,04,사고건수
특별광역시도,20시-22시,723,04,사고건수
특별광역시도,22시-24시,612,04,사고건수
시도,00시-02시,175,04,사고건수
시도,02시-04시,72,04,사고건수
시도,04시-06시,100,04,사고건수
시도,06시-08시,290,04,사고건수
시도,08시-10시,599,04,사고건수
시도,10시-12시,535,04,사고건수
시도,12시-14시,632,04,사고건수
시도,14시-16시,664,04,사고건수
시도,16시-18시,800,04,사고건수
시도,18시-20시,850,04,사고건수
시도,20시-22시,564,04,사고건수
시도,22시-24시,397,04,사고건수
군도,00시-02시,8,04,사고건수
군도,02시-04시,7,04,사고건수
군도,04시-06시,11,04,사고건수
군도,06시-08시,27,04,사고건수
군도,08시-10시,82,04,사고건수
군도,10시-12시,80,04,사고건수
군도,12시-14시,83,04,사고건수
군도,14시-16시,80,04,사고건수
군도,16시-18시,94,04,사고건수
군도,18시-20시,68,04,사고건수
군도,20시-22시,41,04,사고건수
군도,22시-24시,10,04,사고건수
고속국도,00시-02시,12,04,사고건수
